Datum,Dan,Aviokompanija,Kod,Destinacija,Tip,Vrijeme
30.03.2025,Nedjelja,Wizz Air,FMM,"Memmingen, Njemačka",Dolazak,09:55
30.03.2025,Nedjelja,Wizz Air,FMM,"Memmingen, Njemačka",Polazak,09:25
30.03.2025,Nedjelja,Wizz Air,DTM,"Dortmund, Njemačka",Dolazak,11:40
30.03.2025,Nedjelja,Wizz Air,DTM,"Dortmund, Njemačka",Polazak,11:10
31.03.2025,Ponedjeljak,Wizz Air,FMM,"Memmingen, Njemačka",Dolazak,09:55
31.03.2025,Ponedjeljak,Wizz Air,FMM,"Memmingen, Njemačka",Polazak,09:25
31.03.2025,Ponedjeljak,Wizz Air,DTM,"Dortmund, Njemačka",Dolazak,11:40
31.03.2025,Ponedjeljak,Wizz Air,DTM,"Dortmund, Njemačka",Polazak,11:10
31.03.2025,Ponedjeljak,Wizz Air,MLH,"Basel Mulhouse, Francuska",Dolazak,12:30
31.03.2025,Ponedjeljak,Wizz Air,MLH,"Basel Mulhouse, Francuska",Polazak,12:00
31.03.2025,Ponedjeljak,AJet,SAW,"Istanbul, Turska",Dolazak,14:35
31.03.2025,Ponedjeljak,AJet,SAW,"Istanbul, Turska",Polazak,13:35
02.04.2025,Srijeda,Wizz Air,FMM,"Memmingen, Njemačka",Dolazak,09:55
02.04.2025,Srijeda,Wizz Air,FMM,"Memmingen, Njemačka",Polazak,09:25
02.04.2025,Srijeda,Wizz Air,DTM,"Dortmund, Njemačka",Dolazak,11:40
02.04.2025,Srijeda,Wizz Air,DTM,"Dortmund, Njemačka",Polazak,11:10
02.04.2025,Srijeda,Wizz Air,MLH,"Basel Mulhouse, Francuska",Dolazak,12:30
02.04.2025,Srijeda,Wizz Air,MLH,"Basel Mulhouse, Francuska",Polazak,12:00
03.04.2025,Četvrtak,Wizz Air,FMM,"Memmingen, Njemačka",Dolazak,09:55
03.04.2025,Četvrtak,Wizz Air,FMM,"Memmingen, Njemačka",Polazak,09:25
04.04.2025,Petak,Pegasus,SAW,"Istanbul, Turska",Dolazak,10:10
04.04.2025,Petak,Pegasus,SAW,"Istanbul, Turska",Polazak,08:50
04.04.2025,Petak,Wizz Air,FMM,"Memmingen, Njemačka",Dolazak,09:55
04.04.2025,Petak,Wizz Air,FMM,"Memmingen, Njemačka",Polazak,09:25
04.04.2025,Petak,Wizz Air,DTM,"Dortmund, Njemačka",Dolazak,12:25
04.04.2025,Petak,Wizz Air,DTM,"Dortmund, Njemačka",Polazak,11:55
04.04.2025,Petak,Wizz Air,MLH,"Basel Mulhouse, Francuska",Dolazak,12:30
04.04.2025,Petak,Wizz Air,MLH,"Basel Mulhouse, Francuska",Polazak,12:00
06.04.2025,Nedjelja,Wizz Air,FMM,"Memmingen, Njemačka",Dolazak,09:55
06.04.2025,Nedjelja,Wizz Air,FMM,"Memmingen, Njemačka",Polazak,09:25
06.04.2025,Nedjelja,Wizz Air,DTM,"Dortmund, Njemačka",Dolazak,11:40
06.04.2025,Nedjelja,Wizz Air,DTM,"Dortmund, Njemačka",Polazak,11:10
07.04.2025,Ponedjeljak,Wizz Air,FMM,"Memmingen, Njemačka",Dolazak,09:55
07.04.2025,Ponedjeljak,Wizz Air,FMM,"Memmingen, Njemačka",Polazak,09:25
07.04.2025,Ponedjeljak,Wizz Air,DTM,"Dortmund, Njemačka",Dolazak,11:40
07.04.2025,Ponedjeljak,Wizz Air,DTM,"Dortmund, Njemačka",Polazak,11:10
07.04.2025,Ponedjeljak,Wizz Air,MLH,"Basel Mulhouse, Francuska",Dolazak,12:30
07.04.2025,Ponedjeljak,Wizz Air,MLH,"Basel Mulhouse, Francuska",Polazak,12:00
07.04.2025,Ponedjeljak,AJet,SAW,"Istanbul, Turska",Dolazak,14:35
07.04.2025,Ponedjeljak,AJet,SAW,"Istanbul, Turska",Polazak,13:35
09.04.2025,Srijeda,Wizz Air,FMM,"Memmingen, Njemačka",Dolazak,09:55
09.04.2025,Srijeda,Wizz Air,FMM,"Memmingen, Njemačka",Polazak,09:25
09.04.2025,Srijeda,Wizz Air,DTM,"Dortmund, Njemačka",Dolazak,11:40
09.04.2025,Srijeda,Wizz Air,DTM,"Dortmund, Njemačka",Polazak,11:10
09.04.2025,Srijeda,Wizz Air,MLH,"Basel Mulhouse, Francuska",Dolazak,12:30
09.04.2025,Srijeda,Wizz Air,MLH,"Basel Mulhouse, Francuska",Polazak,12:00
10.04.2025,Četvrtak,Wizz Air,FMM,"Memmingen, Njemačka",Dolazak,09:55
10.04.2025,Četvrtak,Wizz Air,FMM,"Memmingen, Njemačka",Polazak,09:25
11.04.2025,Petak,Pegasus,SAW,"Istanbul, Turska",Dolazak,10:10
11.04.2025,Petak,Pegasus,SAW,"Istanbul, Turska",Polazak,08:50
